ds_name,elapsed,threshold,uniqie_pairs_sim_docs,workers,slice_factor
nfcorpus,369.4925363063812,0.3,711,1,1
nfcorpus,274.8911499977112,0.3,711,2,1
nfcorpus,270.89912128448486,0.3,711,3,1
nfcorpus,245.30109477043152,0.3,711,4,1
nfcorpus,254.41281390190125,0.3,711,5,1
nfcorpus,245.5686068534851,0.3,711,6,1
nfcorpus,256.7423939704895,0.3,711,7,1
nfcorpus,263.1490797996521,0.3,711,8,1
nfcorpus,258.6221446990967,0.3,711,9,1
nfcorpus,252.49304008483887,0.3,711,10,1
nfcorpus,254.17526412010193,0.3,711,11,1
nfcorpus,256.19439721107483,0.3,711,12,1
nfcorpus,255.59702110290527,0.3,711,13,1
nfcorpus,261.9501762390137,0.3,711,14,1
nfcorpus,260.0370903015137,0.3,711,15,1
nfcorpus,364.006219625473,0.3,711,1,2
nfcorpus,266.36614084243774,0.3,711,2,2
nfcorpus,260.0524961948395,0.3,711,3,2
nfcorpus,239.6093692779541,0.3,711,4,2
nfcorpus,240.77212166786194,0.3,711,5,2
nfcorpus,261.37898206710815,0.3,711,6,2
nfcorpus,233.40061140060425,0.3,711,7,2
nfcorpus,255.8013482093811,0.3,711,8,2
nfcorpus,282.18252968788147,0.3,711,9,2
nfcorpus,261.0572144985199,0.3,711,10,2
nfcorpus,252.0966248512268,0.3,711,11,2
nfcorpus,246.3616623878479,0.3,711,12,2
nfcorpus,264.07214879989624,0.3,711,13,2
nfcorpus,259.1293725967407,0.3,711,14,2
nfcorpus,281.48353910446167,0.3,711,15,2
nfcorpus,366.99564123153687,0.3,711,1,3
nfcorpus,287.3446764945984,0.3,711,2,3
nfcorpus,253.7653079032898,0.3,711,3,3
nfcorpus,241.3978977203369,0.3,711,4,3
nfcorpus,271.69754672050476,0.3,711,5,3
nfcorpus,258.91532611846924,0.3,711,6,3
nfcorpus,260.62958097457886,0.3,711,7,3
nfcorpus,254.7069079875946,0.3,711,8,3
nfcorpus,264.43498277664185,0.3,711,9,3
nfcorpus,268.57647156715393,0.3,711,10,3
nfcorpus,257.5525641441345,0.3,711,11,3
nfcorpus,266.1593248844147,0.3,711,12,3
nfcorpus,245.23652982711792,0.3,711,13,3
nfcorpus,258.1207401752472,0.3,711,14,3
nfcorpus,266.10406470298767,0.3,711,15,3
nfcorpus,360.3676266670227,0.3,711,1,4
nfcorpus,277.9171724319458,0.3,711,2,4
nfcorpus,259.5048553943634,0.3,711,3,4
nfcorpus,266.4778516292572,0.3,711,4,4
nfcorpus,258.2647030353546,0.3,711,5,4
nfcorpus,249.4621069431305,0.3,711,6,4
nfcorpus,248.93629431724548,0.3,711,7,4
nfcorpus,256.8798232078552,0.3,711,8,4
nfcorpus,259.326434135437,0.3,711,9,4
nfcorpus,263.0086889266968,0.3,711,10,4
nfcorpus,266.3961567878723,0.3,711,11,4
nfcorpus,275.8972079753876,0.3,711,12,4
nfcorpus,278.26054191589355,0.3,711,13,4
nfcorpus,278.7269024848938,0.3,711,14,4
nfcorpus,268.3750081062317,0.3,711,15,4
nfcorpus,353.60727524757385,0.3,711,1,5
nfcorpus,293.3251028060913,0.3,711,2,5
nfcorpus,253.0791962146759,0.3,711,3,5
nfcorpus,249.75528693199158,0.3,711,4,5
nfcorpus,282.1286518573761,0.3,711,5,5
nfcorpus,249.41977286338806,0.3,711,6,5
nfcorpus,261.50415325164795,0.3,711,7,5
nfcorpus,265.80582094192505,0.3,711,8,5
nfcorpus,263.8803961277008,0.3,711,9,5
nfcorpus,264.590603351593,0.3,711,10,5
nfcorpus,259.5839350223541,0.3,711,11,5
nfcorpus,285.2457766532898,0.3,711,12,5
nfcorpus,259.55642437934875,0.3,711,13,5
nfcorpus,270.33961057662964,0.3,711,14,5
nfcorpus,269.77609610557556,0.3,711,15,5
nfcorpus,167.79315280914307,0.5,44,1,1
nfcorpus,115.75749063491821,0.5,44,2,1
nfcorpus,113.57737135887146,0.5,44,3,1
nfcorpus,121.18321967124939,0.5,44,4,1
nfcorpus,110.21788454055786,0.5,44,5,1
nfcorpus,91.96599531173706,0.5,44,6,1
nfcorpus,105.9186761379242,0.5,44,7,1
nfcorpus,98.00959348678589,0.5,44,8,1
nfcorpus,119.52752089500427,0.5,44,9,1
nfcorpus,113.8334093093872,0.5,44,10,1
nfcorpus,96.75400376319885,0.5,44,11,1
nfcorpus,94.71319222450256,0.5,44,12,1
nfcorpus,109.04213428497314,0.5,44,13,1
nfcorpus,107.82397079467773,0.5,44,14,1
nfcorpus,117.40852355957031,0.5,44,15,1
nfcorpus,168.85239267349243,0.5,44,1,2
nfcorpus,116.22874140739441,0.5,44,2,2
nfcorpus,119.25713515281677,0.5,44,3,2
nfcorpus,120.2410991191864,0.5,44,4,2
nfcorpus,134.97243928909302,0.5,44,5,2
nfcorpus,118.48963713645935,0.5,44,6,2
nfcorpus,118.41496872901917,0.5,44,7,2
nfcorpus,110.4763834476471,0.5,44,8,2
nfcorpus,107.70440125465393,0.5,44,9,2
nfcorpus,98.64626836776733,0.5,44,10,2
nfcorpus,97.807608127594,0.5,44,11,2
nfcorpus,112.20545840263367,0.5,44,12,2
nfcorpus,122.67586350440979,0.5,44,13,2
nfcorpus,105.65920615196228,0.5,44,14,2
nfcorpus,111.6952292919159,0.5,44,15,2
nfcorpus,167.58343362808228,0.5,44,1,3
nfcorpus,149.9452691078186,0.5,44,2,3
nfcorpus,114.1951642036438,0.5,44,3,3
nfcorpus,114.36414909362793,0.5,44,4,3
nfcorpus,119.26891994476318,0.5,44,5,3
nfcorpus,102.53887033462524,0.5,44,6,3
nfcorpus,125.18265414237976,0.5,44,7,3
nfcorpus,109.02677583694458,0.5,44,8,3
nfcorpus,104.36004614830017,0.5,44,9,3
nfcorpus,107.03474235534668,0.5,44,10,3
nfcorpus,114.83002734184265,0.5,44,11,3
nfcorpus,105.31893301010132,0.5,44,12,3
nfcorpus,114.83793544769287,0.5,44,13,3
nfcorpus,127.64389538764954,0.5,44,14,3
nfcorpus,119.17928767204285,0.5,44,15,3
nfcorpus,168.82494592666626,0.5,44,1,4
nfcorpus,126.19079065322876,0.5,44,2,4
nfcorpus,125.88123798370361,0.5,44,3,4
nfcorpus,116.55122137069702,0.5,44,4,4
nfcorpus,122.79103255271912,0.5,44,5,4
nfcorpus,113.86774468421936,0.5,44,6,4
nfcorpus,115.93916916847229,0.5,44,7,4
nfcorpus,125.68971681594849,0.5,44,8,4
nfcorpus,107.36032271385193,0.5,44,9,4
nfcorpus,125.87157964706421,0.5,44,10,4
nfcorpus,130.48236060142517,0.5,44,11,4
nfcorpus,119.5855553150177,0.5,44,12,4
nfcorpus,119.96497011184692,0.5,44,13,4
nfcorpus,124.72385287284851,0.5,44,14,4
nfcorpus,119.3021285533905,0.5,44,15,4
nfcorpus,147.82441544532776,0.5,44,1,5
nfcorpus,118.57996988296509,0.5,44,2,5
nfcorpus,110.05774164199829,0.5,44,3,5
nfcorpus,115.70158743858337,0.5,44,4,5
nfcorpus,129.27673316001892,0.5,44,5,5
nfcorpus,120.51441597938538,0.5,44,6,5
nfcorpus,121.42656111717224,0.5,44,7,5
nfcorpus,110.83661031723022,0.5,44,8,5
nfcorpus,121.19154524803162,0.5,44,9,5
nfcorpus,130.90472888946533,0.5,44,10,5
nfcorpus,121.053227186203,0.5,44,11,5
nfcorpus,132.81323719024658,0.5,44,12,5
nfcorpus,125.48909115791321,0.5,44,13,5
nfcorpus,135.0957317352295,0.5,44,14,5
nfcorpus,126.1985969543457,0.5,44,15,5
nfcorpus,83.2904098033905,0.7,3,1,1
nfcorpus,60.37984108924866,0.7,3,2,1
nfcorpus,48.67555594444275,0.7,3,3,1
nfcorpus,51.05540347099304,0.7,3,4,1
nfcorpus,55.11837291717529,0.7,3,5,1
nfcorpus,56.720698833465576,0.7,3,6,1
nfcorpus,40.25955104827881,0.7,3,7,1
nfcorpus,60.34440350532532,0.7,3,8,1
nfcorpus,49.07008743286133,0.7,3,9,1
nfcorpus,42.58800745010376,0.7,3,10,1
nfcorpus,60.15433311462402,0.7,3,11,1
nfcorpus,53.69958734512329,0.7,3,12,1
nfcorpus,50.459768295288086,0.7,3,13,1
nfcorpus,57.510462522506714,0.7,3,14,1
nfcorpus,58.73408031463623,0.7,3,15,1
nfcorpus,83.2169201374054,0.7,3,1,2
nfcorpus,53.88384127616882,0.7,3,2,2
nfcorpus,58.29304265975952,0.7,3,3,2
nfcorpus,51.754982471466064,0.7,3,4,2
nfcorpus,54.734004735946655,0.7,3,5,2
nfcorpus,57.438011169433594,0.7,3,6,2
nfcorpus,53.72449588775635,0.7,3,7,2
nfcorpus,47.98819351196289,0.7,3,8,2
nfcorpus,46.45611548423767,0.7,3,9,2
nfcorpus,59.766334533691406,0.7,3,10,2
nfcorpus,52.85948896408081,0.7,3,11,2
nfcorpus,56.47991228103638,0.7,3,12,2
nfcorpus,52.947758197784424,0.7,3,13,2
nfcorpus,57.53740954399109,0.7,3,14,2
nfcorpus,54.630675315856934,0.7,3,15,2
