ds_name,elapsed,threshold,uniqie_pairs_sim_docs,workers,slice_factor
nfcorpus,84.61506414413452,0.3,240,1,1
nfcorpus,41.51825714111328,0.3,240,2,1
nfcorpus,28.688485860824585,0.3,240,3,1
nfcorpus,25.589223623275757,0.3,240,4,1
nfcorpus,21.83083415031433,0.3,240,5,1
nfcorpus,20.37915587425232,0.3,240,6,1
nfcorpus,18.98631501197815,0.3,240,7,1
nfcorpus,18.799888372421265,0.3,240,8,1
nfcorpus,18.495723962783813,0.3,240,9,1
nfcorpus,19.09638738632202,0.3,240,10,1
nfcorpus,18.602636337280273,0.3,240,11,1
nfcorpus,18.916845083236694,0.3,240,12,1
nfcorpus,18.740439653396606,0.3,240,13,1
nfcorpus,18.642318725585938,0.3,240,14,1
nfcorpus,18.531043529510498,0.3,240,15,1
nfcorpus,76.08007740974426,0.3,240,1,3
nfcorpus,34.452693462371826,0.3,240,2,3
nfcorpus,24.253561973571777,0.3,240,3,3
nfcorpus,23.971566438674927,0.3,240,4,3
nfcorpus,22.329272985458374,0.3,240,5,3
nfcorpus,19.729947566986084,0.3,240,6,3
nfcorpus,19.320690393447876,0.3,240,7,3
nfcorpus,19.180782556533813,0.3,240,8,3
nfcorpus,19.469435214996338,0.3,240,9,3
nfcorpus,19.143529176712036,0.3,240,10,3
nfcorpus,19.51789903640747,0.3,240,11,3
nfcorpus,20.089415788650513,0.3,240,12,3
nfcorpus,20.109128713607788,0.3,240,13,3
nfcorpus,20.01837944984436,0.3,240,14,3
nfcorpus,20.054490327835083,0.3,240,15,3
nfcorpus,64.32086038589478,0.3,240,1,5
nfcorpus,34.279497146606445,0.3,240,2,5
nfcorpus,24.41293740272522,0.3,240,3,5
nfcorpus,23.96897864341736,0.3,240,4,5
nfcorpus,23.047908782958984,0.3,240,5,5
nfcorpus,20.279300928115845,0.3,240,6,5
nfcorpus,19.76415729522705,0.3,240,7,5
nfcorpus,20.118492126464844,0.3,240,8,5
nfcorpus,20.392523527145386,0.3,240,9,5
nfcorpus,20.459375143051147,0.3,240,10,5
nfcorpus,20.797537565231323,0.3,240,11,5
nfcorpus,21.260083436965942,0.3,240,12,5
nfcorpus,21.350856065750122,0.3,240,13,5
nfcorpus,21.845242977142334,0.3,240,14,5
nfcorpus,22.170006036758423,0.3,240,15,5
nfcorpus,65.91843128204346,0.3,240,1,7
nfcorpus,37.093404054641724,0.3,240,2,7
nfcorpus,25.435632467269897,0.3,240,3,7
nfcorpus,23.38201141357422,0.3,240,4,7
nfcorpus,22.24459457397461,0.3,240,5,7
nfcorpus,21.281324863433838,0.3,240,6,7
nfcorpus,20.781294584274292,0.3,240,7,7
nfcorpus,20.788891077041626,0.3,240,8,7
nfcorpus,21.38766360282898,0.3,240,9,7
nfcorpus,21.716328620910645,0.3,240,10,7
nfcorpus,22.022505044937134,0.3,240,11,7
nfcorpus,22.611595153808594,0.3,240,12,7
nfcorpus,23.582040548324585,0.3,240,13,7
nfcorpus,24.20586371421814,0.3,240,14,7
nfcorpus,24.658555507659912,0.3,240,15,7
nfcorpus,64.2675051689148,0.3,240,1,9
nfcorpus,35.15923452377319,0.3,240,2,9
nfcorpus,25.1416654586792,0.3,240,3,9
nfcorpus,25.249401092529297,0.3,240,4,9
nfcorpus,23.338865280151367,0.3,240,5,9
nfcorpus,21.314481258392334,0.3,240,6,9
nfcorpus,21.506545305252075,0.3,240,7,9
nfcorpus,22.01759648323059,0.3,240,8,9
nfcorpus,22.472256660461426,0.3,240,9,9
nfcorpus,23.21660089492798,0.3,240,10,9
nfcorpus,23.652377605438232,0.3,240,11,9
nfcorpus,24.53131866455078,0.3,240,12,9
nfcorpus,25.458924055099487,0.3,240,13,9
nfcorpus,26.19074273109436,0.3,240,14,9
nfcorpus,26.639675617218018,0.3,240,15,9
nfcorpus,39.374903440475464,0.5,9,1,1
nfcorpus,21.001765489578247,0.5,9,2,1
nfcorpus,11.861104488372803,0.5,9,3,1
nfcorpus,11.818862438201904,0.5,9,4,1
nfcorpus,10.269220113754272,0.5,9,5,1
nfcorpus,9.741723775863647,0.5,9,6,1
nfcorpus,9.247546195983887,0.5,9,7,1
nfcorpus,8.987361431121826,0.5,9,8,1
nfcorpus,8.999691009521484,0.5,9,9,1
nfcorpus,9.052059412002563,0.5,9,10,1
nfcorpus,9.162785530090332,0.5,9,11,1
nfcorpus,9.128585577011108,0.5,9,12,1
nfcorpus,9.11491847038269,0.5,9,13,1
nfcorpus,9.02962327003479,0.5,9,14,1
nfcorpus,8.985729694366455,0.5,9,15,1
nfcorpus,28.991546869277954,0.5,9,1,3
nfcorpus,15.63333535194397,0.5,9,2,3
nfcorpus,11.542805910110474,0.5,9,3,3
nfcorpus,10.858071327209473,0.5,9,4,3
nfcorpus,10.239406108856201,0.5,9,5,3
nfcorpus,9.769985675811768,0.5,9,6,3
nfcorpus,9.394875049591064,0.5,9,7,3
nfcorpus,9.717434406280518,0.5,9,8,3
nfcorpus,9.73587703704834,0.5,9,9,3
nfcorpus,9.746619462966919,0.5,9,10,3
nfcorpus,9.82381010055542,0.5,9,11,3
nfcorpus,10.218494653701782,0.5,9,12,3
nfcorpus,10.34091305732727,0.5,9,13,3
nfcorpus,10.571717739105225,0.5,9,14,3
nfcorpus,10.710516452789307,0.5,9,15,3
nfcorpus,28.68860387802124,0.5,9,1,5
nfcorpus,16.212995290756226,0.5,9,2,5
nfcorpus,13.067607879638672,0.5,9,3,5
nfcorpus,12.508212089538574,0.5,9,4,5
nfcorpus,11.909064292907715,0.5,9,5,5
nfcorpus,11.658640384674072,0.5,9,6,5
nfcorpus,11.37780499458313,0.5,9,7,5
nfcorpus,11.227396011352539,0.5,9,8,5
nfcorpus,11.684239149093628,0.5,9,9,5
nfcorpus,11.428619623184204,0.5,9,10,5
nfcorpus,11.5696382522583,0.5,9,11,5
