ds_name,elapsed,threshold,uniqie_pairs_sim_docs,workers
nfcorpus,361.93576836586,0.5,64,1
nfcorpus,284.08949303627014,0.5,64,2
nfcorpus,282.00328493118286,0.5,64,3
nfcorpus,264.72051787376404,0.5,64,4
nfcorpus,248.66791582107544,0.5,64,5
nfcorpus,248.03708171844482,0.5,64,6
nfcorpus,212.05371117591858,0.5,64,7
nfcorpus,216.25545740127563,0.5,64,8
nfcorpus,216.40481090545654,0.5,64,9
nfcorpus,215.95058417320251,0.5,64,10
nfcorpus,192.9288125038147,0.7,2,1
nfcorpus,153.9603157043457,0.7,2,2
nfcorpus,141.21546626091003,0.7,2,3
nfcorpus,112.86906027793884,0.7,2,4
nfcorpus,124.79184412956238,0.7,2,5
nfcorpus,114.73573207855225,0.7,2,6
nfcorpus,107.01937222480774,0.7,2,7
nfcorpus,109.28098201751709,0.7,2,8
nfcorpus,90.00834846496582,0.7,2,9
nfcorpus,101.40755081176758,0.7,2,10
nfcorpus,132.00800776481628,0.8,1,1
nfcorpus,115.86239290237427,0.8,1,2
nfcorpus,91.01323080062866,0.8,1,3
nfcorpus,80.98659348487854,0.8,1,4
nfcorpus,84.3635847568512,0.8,1,5
nfcorpus,66.76067090034485,0.8,1,6
nfcorpus,70.36943936347961,0.8,1,7
nfcorpus,71.659907579422,0.8,1,8
nfcorpus,66.6627848148346,0.8,1,9
nfcorpus,68.21698260307312,0.8,1,10
nfcorpus,105.41328525543213,0.9,1,1
nfcorpus,67.68565464019775,0.9,1,2
nfcorpus,60.81282901763916,0.9,1,3
nfcorpus,63.47057056427002,0.9,1,4
nfcorpus,47.44696068763733,0.9,1,5
nfcorpus,53.6770658493042,0.9,1,6
nfcorpus,50.0754611492157,0.9,1,7
nfcorpus,61.01051330566406,0.9,1,8
nfcorpus,48.910096645355225,0.9,1,9
nfcorpus,48.53654718399048,0.9,1,10
